Sequence,Volt,Volt,-3.00E-02,5.00E-05
551,8.00E-02,-8.00E-01,,
552,-8.00E-02,-1.60E+00,,
553,1.60E-01,0.00E+00,,
554,0.00E+00,-8.00E-01,,
555,2.40E-01,8.00E-01,,
556,8.00E-02,0.00E+00,,
557,3.20E-01,1.60E+00,,
558,1.60E-01,8.00E-01,,
559,4.00E-01,2.40E+00,,
560,2.40E-01,1.60E+00,,
561,4.80E-01,3.20E+00,,
562,4.80E-01,1.60E+00,,
563,3.20E-01,4.00E+00,,
564,5.60E-01,2.40E+00,,
565,4.00E-01,4.80E+00,,
566,4.80E-01,3.20E+00,,
567,6.40E-01,5.60E+00,,
568,5.60E-01,4.00E+00,,
569,8.00E-01,6.40E+00,,
570,5.60E-01,6.40E+00,,
571,8.80E-01,4.80E+00,,
572,7.20E-01,5.60E+00,,
573,9.60E-01,7.20E+00,,
574,8.00E-01,6.40E+00,,
575,1.04E+00,8.00E+00,,
576,8.80E-01,7.20E+00,,
577,1.04E+00,8.80E+00,,
578,9.60E-01,7.20E+00,,
579,1.12E+00,9.60E+00,,
580,9.60E-01,8.00E+00,,
581,1.20E+00,1.04E+01,,
582,1.04E+00,1.04E+01,,
583,1.28E+00,8.80E+00,,
584,1.12E+00,9.60E+00,,
585,1.36E+00,1.12E+01,,
586,1.36E+00,1.04E+01,,
587,1.20E+00,1.20E+01,,
588,1.20E+00,1.12E+01,,
589,1.44E+00,1.28E+01,,
590,1.28E+00,1.28E+01,,
591,1.52E+00,1.12E+01,,
592,1.36E+00,1.20E+01,,
593,1.60E+00,1.36E+01,,
594,1.44E+00,1.28E+01,,
595,1.68E+00,1.44E+01,,
596,1.68E+00,1.36E+01,,
597,1.52E+00,1.52E+01,,
598,1.52E+00,1.52E+01,,
599,1.76E+00,1.36E+01,,
600,1.60E+00,1.44E+01,,
601,1.76E+00,1.60E+01,,
602,1.60E+00,1.44E+01,,
603,1.84E+00,1.60E+01,,
604,1.68E+00,1.68E+01,,
605,1.92E+00,1.52E+01,,
606,1.92E+00,1.60E+01,,
607,1.76E+00,1.76E+01,,
608,1.76E+00,1.76E+01,,
609,2.00E+00,1.60E+01,,
610,2.00E+00,1.76E+01,,
611,1.76E+00,1.60E+01,,
612,2.00E+00,1.76E+01,,
613,1.84E+00,1.84E+01,,
614,2.00E+00,1.76E+01,,
615,1.84E+00,1.92E+01,,
616,2.08E+00,1.76E+01,,
617,1.84E+00,1.92E+01,,
618,2.08E+00,1.84E+01,,
619,1.92E+00,1.92E+01,,
620,2.08E+00,1.84E+01,,
621,1.92E+00,1.92E+01,,
622,1.92E+00,1.84E+01,,
623,2.08E+00,2.00E+01,,
624,1.92E+00,1.84E+01,,
625,2.16E+00,2.00E+01,,
626,2.08E+00,1.92E+01,,
627,2.16E+00,2.00E+01,,
628,2.08E+00,1.92E+01,,
629,2.16E+00,2.00E+01,,
630,2.16E+00,1.92E+01,,
631,2.00E+00,2.00E+01,,
632,2.00E+00,1.92E+01,,
633,2.24E+00,2.08E+01,,
634,2.24E+00,1.92E+01,,
635,2.00E+00,2.08E+01,,
636,2.16E+00,2.00E+01,,
637,2.24E+00,2.08E+01,,
638,2.24E+00,2.00E+01,,
639,2.08E+00,2.08E+01,,
640,2.24E+00,2.00E+01,,
641,2.08E+00,2.16E+01,,
642,2.08E+00,2.00E+01,,
643,2.32E+00,2.16E+01,,
644,2.32E+00,2.08E+01,,
645,2.08E+00,2.16E+01,,
646,2.40E+00,2.08E+01,,
647,2.16E+00,2.24E+01,,
648,2.32E+00,2.08E+01,,
649,2.16E+00,2.24E+01,,
650,2.32E+00,2.08E+01,,
651,2.16E+00,2.16E+01,,
652,2.32E+00,2.16E+01,,
653,2.08E+00,2.00E+01,,
654,2.08E+00,2.00E+01,,
655,2.32E+00,2.16E+01,,
656,2.24E+00,2.16E+01,,
657,2.08E+00,2.00E+01,,
658,2.24E+00,2.00E+01,,
659,2.08E+00,2.08E+01,,
660,2.24E+00,2.00E+01,,
661,2.08E+00,2.08E+01,,
662,2.24E+00,2.08E+01,,
663,2.00E+00,1.92E+01,,
664,2.00E+00,1.92E+01,,
665,2.24E+00,2.08E+01,,
666,2.16E+00,2.00E+01,,
667,2.00E+00,1.92E+01,,
668,2.08E+00,1.92E+01,,
669,2.16E+00,2.00E+01,,
670,2.08E+00,2.00E+01,,
671,2.16E+00,1.84E+01,,
672,2.16E+00,1.84E+01,,
673,1.92E+00,2.00E+01,,
674,1.92E+00,1.84E+01,,
675,2.08E+00,2.00E+01,,
676,2.00E+00,1.84E+01,,
677,2.08E+00,1.92E+01,,
678,2.08E+00,1.92E+01,,
679,1.84E+00,1.76E+01,,
680,1.84E+00,1.76E+01,,
681,2.08E+00,1.92E+01,,
682,1.84E+00,1.76E+01,,
683,2.00E+00,1.68E+01,,
684,2.00E+00,1.76E+01,,
685,1.76E+00,1.60E+01,,
686,1.92E+00,1.76E+01,,
687,1.76E+00,1.60E+01,,
688,1.92E+00,1.68E+01,,
689,1.68E+00,1.52E+01,,
690,1.84E+00,1.60E+01,,
691,1.60E+00,1.44E+01,,
